Selection Year,JO Type,Job Network,Entity,Gender,Nationality,Region,Job Family,Level,Posting Year,JO Number,Applicant Number,JO Selection,Candidate Rostered?,Entity Type,SelectionMonth,PostingMonth,Job Code,Job_Family,Recruitment Timeline (Days)
2017,PSJO,INFONET,UN-OAH-2,Female,United Kingdom,Western Europe and Others,Language,P-4,2017,253149,5880498,Roster,Yes,OAH,2017-10-01,2017-08-01,UNS:8230,LAN,50
2018,PSJO,DEVNET,UN-DEPT-3,Female,United States of America,Western Europe and Others,Sustainable Development,P-5,2017,256962,5888112,Non-roster,No,Department,2018-05-01,2017-10-01,UNS:6345,SUS,234
2017,PSJO,LOGNET,UN-OAH-2,Female,Cameroon,Africa,Procurement,P-3,2017,230862,5894946,Non-roster,No,OAH,2017-11-01,2017-03-01,UNS:5223,PRO,245
2022,RfR,POLNET,UN-PKO-1,Female,Burundi,Africa,Political Affairs,P-3,2022,514821,5919672,Roster,Yes,Peacekeeping Mission,2022-03-01,2022-01-01,UNS:5119,POL,70
2017,PSJO,INFONET,UN-OAH-2,Male,France,Western Europe and Others,Language,P-4,2017,234108,5936511,Non-roster,No,OAH,2017-09-01,2017-05-01,UNS:8633,LAN,145
2019,RfR,POLNET,UN-PKO-1,Female,France,Western Europe and Others,Human Rights Affairs,P-3,2018,319350,5981547,Roster,Yes,Peacekeeping Mission,2019-03-01,2018-11-01,UNS:3873,HRI,127
2022,PSJO,MAGNET,UN-OAH-2,Male,France,Western Europe and Others,Finance,P-4,2022,536025,5989677,Roster,Yes,OAH,2022-05-01,2022-04-01,UNS:3436,FIN,34
2017,PSJO,MAGNET,UN-OAH-2,Female,Spain,Western Europe and Others,Human Resources,P-3,2017,240036,6032220,Roster,Yes,OAH,2017-06-01,2017-06-01,UNS:6906,HRE,8
2018,RfR,POLNET,UN-PKO-1,Male,Italy,Western Europe and Others,Political Affairs,P-4,2018,314364,6172392,Roster,Yes,Peacekeeping Mission,2018-11-01,2018-10-01,UNS:3927,POL,57
2018,RfR,POLNET,UN-PKO-1,Male,United States of America,Western Europe and Others,Political Affairs,P-3,2018,276753,6183228,Roster,Yes,Peacekeeping Mission,2018-02-01,2018-01-01,UNS:8863,POL,24
2017,PSJO,DEVNET,UN-DEPT-3,Male,Netherlands,Western Europe and Others,Statistics,P-5,2016,175107,6350205,Non-roster,No,Department,2017-01-01,2016-04-01,UNS:6341,STT,291
2017,PSJO,MAGNET,UN-OFFICE-5,Male,Australia,Western Europe and Others,Investigation,P-4,2017,219075,6363201,Non-roster,No,Office,2017-02-01,2017-01-01,UNS:4269,ING,24
2017,PSJO,DEVNET,UN-DEPT-3,Male,Australia,Western Europe and Others,Statistics,P-5,2017,223248,6368400,Non-roster,No,Department,2017-08-01,2017-02-01,UNS:7585,STT,180
2020,RfR,POLNET,UN-PKO-1,Female,"Congo, The Democratic Republic",Africa,Civil Affairs,P-3,2020,399120,6400827,Roster,Yes,Peacekeeping Mission,2020-05-01,2020-03-01,UNS:2337,CIV,51
2021,PSJO,MAGNET,UN-OAH-2,Female,United States of America,Western Europe and Others,Administration,P-5,2020,422817,6403953,Mixed,No,OAH,2021-07-01,2020-09-01,UNS:6112,ADM,314
2017,PSJO,DEVNET,UN-DEPT-3,Female,Poland,Eastern European,Statistics,P-3,2016,213675,6427083,Non-roster,No,Department,2017-08-01,2016-12-01,UNS:6539,STT,222
2017,PSJO,DEVNET,UN-DEPT-3,Male,Slovenia,Eastern European,Statistics,P-3,2017,221745,6484662,Roster,Yes,Department,2017-05-01,2017-03-01,UNS:6539,STT,45
2019,PSJO,POLNET,UN-PKO-1,Female,Switzerland,Western Europe and Others,Political Affairs,P-4,2018,315900,6522663,Non-roster,No,Peacekeeping Mission,2019-04-01,2018-10-01,UNS:1756,POL,196
2017,PSJO,SCINET,UN-OFFICE-5,Female,Tunisia,Africa,Medical,P-4,2017,219066,6604245,Non-roster,No,Office,2017-02-01,2017-01-01,UNS:4655,MED,23
